;placeID;latitude;longitude;the_geom_meter;address;city;state;country;fax;zip
58;38;18.859803;-99.222164;0101000020957F0000C015D38251795AC1D8D396893A554A41;Libramiento Burgos Colonia Las Animas;Cuernavaca;Morelos;Mexico;?;?
62;39;22.1489337;-101.01984499999999;0101000020957F0000B366C9254B4758C191987F9CAEAF4B41;?;?;San Luis Potosi;Mexico;?;?
64;40;18.933537;-99.222497;0101000020957F00005645259D836D5AC11EF994E27F514A41;Rio Mayo 17 Vista Hermosa;Cuernavaca;Morelos;Mexico;?;62290
65;41;22.150980999999998;-100.977412;0101000020957F0000B72147F1274858C189A406ED75A34B41;Ignacio Aldama 300 Centro;San Luis Potosi;SLP;Mexico;?;78000
66;42;22.1262926;-100.90077640000001;0101000020957F0000B230F8670C4E58C1D590A2700F8F4B41;av. seminario;san luis potosi;san luis potosi;mexico;?;?
68;43;22.1312917;-100.9371941;0101000020957F0000608CF6D8474C58C1DBF7C50028994B41;Av. Coral;San Luis Potosi;San Luis Potosi;Mexico;?;?
69;44;22.148665;-101.001273;0101000020957F0000C75F8790D94758C1FF8BCA0567AA4B41;Capitan Caldera No. 420 Tequisqueapan;San Luis Potosi;SLP;Mexico;?;78250
72;45;23.752982100000004;-99.16843409999998;0101000020957F00007CDF5EAFC58157C1645743B23E4F4941;?;?;?;?;?;?
73;46;23.752930499999998;-99.1644725;0101000020957F000047206572DE8157C1D3315028254E4941;blvrd emilio portes gil;victoria;tamaulipas;?;?;?
75;47;22.1544736;-100.98580909999998;0101000020957F0000BAC859A0634758C1C3E84FCAA5A54B41;NICOLAS ZAPATA 300;San Luis Potosi;San Luis Potosi;Mexico;?;?
76;48;23.736797699999997;-99.1342413;0101000020957F00007AED0830FC8457C122F85F7B84464941;?;victoria;tamaulipas;mexico;?;?
77;49;22.141848;-100.997475;0101000020957F0000C8B62F9EFF4858C14FA6C296B9A94B41;Himno Nacional 100 Avenida;San Luis Potosi;SLP;Mexico;?;78240
78;50;22.145813;-101.01803199999999;0101000020957F00004DDB874CD24758C1F29E91E259AF4B41;Rio Papaloapan 265 Lomas de San Luis (3);San Luis Potosi;SLP;Mexico;?;78210
79;51;22.126375;-100.910926;0101000020957F0000E3A742BFC14D58C1F4E529A7F3914B41;De La Estrella 2005 Estrella de Oriente;San Luis Potosi;SLP;Mexico;?;78396
80;52;22.156469;-100.98554;0101000020957F00007768135A174758C155D318CB73A54B41;sevilla y olmedo 715 a;san luis potosi;san luis potosi;mexico;?;78349
81;53;22.142273199999998;-100.94265370000001;0101000020957F000065D51EE7724A58C1B688A454109A4B41;circuito oriente esq. carretera 57;san luis potosi ;slp;mexico;?;?
82;54;22.142017000000003;-100.999246;0101000020957F00008032636EEC4858C16CDF265038AA4B41;Jesus Goytortua 390 Tangamanga;San Luis Potosi;SLP;Mexico;?;78269
83;55;23.7318602;-99.1504365;0101000020957F0000B21C3F6C5E8557C188ACCF0A444B4941;?;?;?;?;?;?
84;56;22.1480965;-101.0173023;0101000020957F000074BBAF047E4758C1424B73C701AF4B41;Av. V. Carranza;San Luis Potosi;San Luis Potosi;Mexico;?;?
85;57;22.1795169;-100.9584358;0101000020957F0000B1DA6F2D504458C112A26CA45B9C4B41;Av. Saan Luis enttre moctezuma y salinas;San Luis Potosi;San Luis Potosi;mexico;?;78433
86;58;23.7521965;-99.16663170000001;0101000020957F000027A30471EE8157C1AC17D61EC84E4941;?;Ciudad Victoria;Tamaulipas;Mexico;?;?
88;59;18.869992899999996;-99.2103195;0101000020957F0000B1F935F9FA775AC1D06DFD1017514A41;Emiliano Zapata Col. Tres de Mayo;Cuernavaca;Morelos;?;?;?
89;60;23.7292162;-99.1323571;0101000020957F00000F14BF6B2C8657C1963CCB8E5C464941;Zaragoza entre Francisco Zarco y Lopez Velarde;Cd. Victoria;Tamaulipas;Mexico;?;?
90;61;22.173595499999998;-100.9946027;0101000020957F0000942C3434384458C1C2D3499804A74B41;?;s.l.p;mexico;?;?;?
92;62;22.141647100000004;-100.9927118;0101000020957F00005D19BF45294958C18FF7F8E260A84B41;?;San Luis Potosi;San Luis Potosi;Mexico;?;?
93;63;22.1449787;-101.0056829;0101000020957F000049095EB34A4858C15CB4BD1EE1AB4B41;avenida hivno nacional;san luis potosi;san luis potos;mexico;?;?
94;64;23.752707100000002;-99.1625655;0101000020957F0000F2F4110CF28157C1DCFD7C1BA04D4941;?;Ciudad Victoria;Tamaulipas;Mexico;?;?
95;65;22.1511348;-100.9823115;0101000020957F000060A98A38FF4758C146718E41D9A44B41;?;?;?;?;?;?
96;66;23.732422600000003;-99.15866020000001;0101000020957F00004609B96F198557C11973490A874D4941;?;?;?;?;?;?
97;67;22.147145000000002;-100.97449399999999;0101000020957F000087BEDDE8D24858C1B20CDB33DBA24B41;Pascual M. Hernandez 240;San Luis Potosi;SLP;Mexico;?;?
98;68;18.8820871;-99.1630268;0101000020957F00001672C2C435775AC1F69BF2EF0D424A41;Paseo de las Fuentes;Jiutepec;Morelos;?;?;?
99;69;22.145893;-100.97487;0101000020957F000040D5CE4E014958C177DC62AE09A34B41;Miguel Barragan 46 Centro;San Luis Potosi;SLP;Mexico;?;79300
101;70;22.153323999999998;-101.0195459;0101000020957F000026CADE45A14658C1F011EBCA55AF4B41;Av. de los Pintores;San Luis Potosi;S.L.P.;Mexico;?;?
102;71;22.185756;-100.944518;0101000020957F00006B9D7207BE4358C12419118D05984B41;524 Soledad de Graciano Sanchez;Soledad;SLP;Mexico;?;?
104;72;22.135011;-101.0286;0101000020957F00005DAD35642E4958C11BBCDE4A02B34B41;Cordillera de Los Alpes 675 Loma Verde;San Luis Potosi;SLP;Mexico;?;78214
105;73;22.147175;-100.97426899999999;0101000020957F0000D010A853D34858C116A1EA51CAA24B41;Pascual M. Hernandez 210 Centro;San Luis Potosi;SLP;Mexico;?;78000
106;74;23.752304100000003;-99.16691329999999;0101000020957F0000FC60BDA8E88157C1B2C357D6DA4E4941;frente al tecnologico;victoria;tamaulipas;mexico;?;?
107;75;18.916654;-99.22711;0101000020957F00002838E29F19705AC1BC368BDAC7534A41;?;?;?;?;?;?
108;76;22.139573000000002;-100.991564;0101000020957F0000332AE8AF824958C15A4195A82CA84B41;Himno Nacional 2104 Tangamanga;San Luis Potosi;SLP;Mexico;?;78269
110;77;22.150305;-100.98913370000001;0101000020957F00006376BB64EF4758C1013687E5D7A64B41;?;?;?;?;?;?
111;78;23.7521677;-99.16570899999999;0101000020957F00003AE4C6DBF48157C1CE38ECC1864E4941;?;?;?;?;?;?
112;79;18.928798;-99.239513;0101000020957F00002A0D05E2D96D5AC1AB058CB1EC564A41;Ricardo Linares 107;Cuernavaca;Morelos;Mexico;?;?
114;80;18.9101777;-99.2315438;0101000020957F000043A319BA06715AC19443369877554A41;Himno nacional esq. Blvd. Juarez;Cuernavaca;Morelos;Mexico;?;?
115;81;18.876011300000002;-99.2198896;0101000020957F0000E14AD4DBC7765AC1F7B33C85B1534A41;Interior Internado Palmira SN;Cuernavaca;Morelos;Mexico;?;?
116;82;22.165587;-101.001273;0101000020957F0000EB71019D424558C15CC5404365A94B41;Munoz Sn Centro;San Luis Potosi;SLP;Mexico;?;64000
117;83;22.1477379;-100.9906163;0101000020957F00002493B678494858C1AD55D2316BA74B41;Cuauhtemoc 455;San Luis Potosi;S.L.P.;Mexico;?;?
118;84;23.752364800000002;-99.16528790000001;0101000020957F000048C65BA7EF8157C177F2344D664E4941;?;?;?;?;?;?
119;85;22.152480999999998;-100.973486;0101000020957F000017D69FF5084858C1A8F2188740A24B41;Constitucion 200 Centro;San Luis Potosi;SLP;Mexico;?;78000
120;86;22.146658;-100.987219;0101000020957F0000B4F00BDD8B4858C10AC3619C83A64B41;Av. Carranza 830;San Luis Potosi;SLP;Mexico;?;?
121;87;22.150802;-100.98268;0101000020957F00009F823DA6094858C18A2D4D37F9A44B41;Venustiano Carranza 719 Centro;San Luis Potosi;SLP;Mexico;?;78000
122;88;23.7525107;-99.1669536;0101000020957F0000FDF8D26EE08157C1FEDB6A1FDB4E4941;?;victoria;tamaulipas;mexico;?;?
123;89;23.7375834;-99.1351318;0101000020957F0000AA7883ADD88457C1FA651328BA464941;?;victoria;tamaulipas;?;?;?
124;90;18.922290399999998;-99.234332;0101000020957F0000FBE7171F056F5AC1E8A6C0A5AF554A41;Rayon sn col. Centro;Cuernavaca;Morelos;Mexico;?;62000
125;91;22.141219800000002;-100.93131070000001;0101000020957F000013871838EC4A58C1B5DF74F8E3964B41;Ricardo B. Anaya;San Luis Potosi;San Luis Potosi;Mexico;?;?
126;92;22.149192000000003;-101.002936;0101000020957F0000E7B79B1DB94758C1D29BC363D8AA4B41;Venustiano Carranza 1809 C Polanco;San Luis Potosi;SLP;Mexico;?;78220
127;93;18.9217848;-99.2353499;0101000020957F0000A6BF695F136F5AC1DADF87B205564A41;?;?;?;?;?;?
128;94;18.875010999999997;-99.15942199999999;0101000020957F0000B49B2E5C6E785AC12F9D584352414A41;Paseo de Las Fuentes 24 Pedregal de Las Fuentes;Jiutepec;Morelos;Mexico;?;?
